,baseMean,log2FoldChange,lfcSE,pvalue,padj
CX3CR1,1245.914845,-1.026323745,0.094258504,7.58E-29,9.69E-25
CD180,1167.182775,-0.773851731,0.07854798,3.95E-24,2.53E-20
DNASE2,6696.114619,-0.519692242,0.058444744,4.19E-20,1.79E-16
CHRM4,86.66683527,-2.207878174,0.255098637,2.90E-19,7.64E-16
THBD,417.496526,1.009134067,0.116940092,2.99E-19,7.64E-16
C1QB,21150.9004,-0.481278699,0.056111999,6.87E-19,1.46E-15
C1QA,9618.302189,-0.341883789,0.040743065,5.84E-18,1.07E-14
TBC1D2,4508.009877,-0.430236727,0.052794639,2.91E-17,4.66E-14
GAS6,1799.946655,-0.60967157,0.075687924,5.08E-17,7.22E-14
TIMP2,15596.26349,-0.35391729,0.044791089,1.76E-16,2.25E-13
TNFRSF9,554.5448743,0.793868022,0.101806901,3.26E-16,3.79E-13
POU2F2,3743.271562,-0.524565127,0.068795228,1.63E-15,1.66E-12
P2RY12,660.7867701,-0.640748576,0.084205435,1.69E-15,1.66E-12
TREM2,9637.421158,-0.402313872,0.054087204,8.39E-15,7.66E-12
HLA-DRB1,2604.679821,-0.536697568,0.072610084,9.62E-15,8.20E-12
APBB1IP,6571.23965,-0.351580754,0.048356188,3.36E-14,2.69E-11
KLF6,5660.763206,0.304367853,0.042267095,6.59E-14,4.83E-11
HVCN1,716.3465675,-0.531264146,0.074571824,6.81E-14,4.83E-11
DBP,539.8003148,-0.766316951,0.108321049,8.62E-14,5.80E-11
HLA-DMA,1145.954152,-0.62669447,0.088683769,9.86E-14,6.19E-11
ATP6V0A1,6459.796729,-0.337191683,0.047370749,1.02E-13,6.19E-11
SLC28A3,894.4190412,0.475996664,0.067567327,1.25E-13,7.28E-11
C1QC,33478.60768,-0.445501903,0.063466473,1.50E-13,8.31E-11
ID3,2760.058503,-0.625638643,0.091783449,5.71E-13,3.04E-10
PLD4,2745.427599,-0.846570654,0.125876474,8.61E-13,4.40E-10
IL1RN,5722.538733,0.498446154,0.073922926,9.39E-13,4.56E-10
CD74,25622.12396,-0.421408059,0.06236765,9.63E-13,4.56E-10
MYC,1427.404117,0.595328297,0.08903556,1.38E-12,6.23E-10
CYFIP1,20758.51524,-0.37809245,0.056094208,1.41E-12,6.23E-10
CYB561A3,6108.238012,-0.325436069,0.048350733,1.74E-12,7.42E-10
RHOBTB2,3550.735327,-0.499971338,0.075233631,2.11E-12,8.71E-10
SOCS6,3799.241752,-0.420370013,0.063276369,2.39E-12,9.53E-10
HLA-DMB,5071.702525,-0.602875652,0.091239912,2.46E-12,9.53E-10
CCL24,555.6333269,0.860478992,0.131703227,3.04E-12,1.14E-09
TNFSF15,1167.880316,0.603078421,0.092413141,3.80E-12,1.37E-09
CD300E,371.6119819,1.375205848,0.212192288,3.84E-12,1.37E-09
HMOX1,4645.322002,-0.425916265,0.064931816,4.29E-12,1.48E-09
PTCRA,315.0290582,-0.775404542,0.11947134,4.89E-12,1.63E-09
YPEL3,809.8361518,-0.631285261,0.09717736,4.97E-12,1.63E-09
PADI2,1147.110513,-0.915529339,0.141909808,6.11E-12,1.95E-09
MYBPH,1044.183772,-0.604003026,0.093486186,6.40E-12,2.00E-09
TNC,1187.009751,0.961350759,0.150287137,7.71E-12,2.35E-09
FCGBP,15341.20002,-0.689804694,0.109016762,1.49E-11,4.43E-09
GNG7,178.2302458,-1.052382083,0.167084796,1.57E-11,4.55E-09
CLEC5A,1830.16652,0.797346791,0.126856718,1.60E-11,4.55E-09
CD68,48150.39779,-0.439054947,0.06995265,1.75E-11,4.87E-09
CTSD,191407.7092,-0.356151166,0.058049789,1.88E-11,5.12E-09
POLD4,2598.963279,-0.373886704,0.059804804,2.82E-11,7.52E-09
GAL3ST4,2586.305248,-0.568568353,0.091027058,4.20E-11,1.09E-08
ABHD12,5209.088823,-0.278783173,0.044515445,4.64E-11,1.19E-08
SLC7A11,268.3314049,0.818326314,0.134349485,5.43E-11,1.36E-08
PTPRF,1282.449781,0.581986076,0.095183951,5.57E-11,1.37E-08
HNRNPH1,11322.63101,0.280733485,0.045214181,6.57E-11,1.59E-08
FCHO2,3184.802746,-0.389514613,0.0634983,6.95E-11,1.65E-08
AXL,6413.033993,-0.500300201,0.082610317,9.59E-11,2.22E-08
ATP6V0D1,10502.92192,-0.292840691,0.047116884,9.73E-11,2.22E-08
RNASET2,3881.234785,-0.326540354,0.053539668,1.00E-10,2.24E-08
RND3,1093.604092,0.626618091,0.103072973,1.03E-10,2.28E-08
MAN1C1,2744.590262,-0.436627774,0.070568629,1.43E-10,3.10E-08
CD58,1163.024986,0.526433519,0.088293233,1.50E-10,3.20E-08
SCARB1,3800.774217,-0.322632702,0.053647665,1.56E-10,3.27E-08
DYNLT5,405.7607534,0.794403084,0.134211402,1.59E-10,3.28E-08
UCP2,6761.816767,-0.285338327,0.047033444,1.75E-10,3.55E-08
GRN,60079.76145,-0.366175687,0.061724783,1.82E-10,3.64E-08
SNAI3,1013.568785,-0.574238503,0.096906409,1.93E-10,3.79E-08
KCNN4,2489.749829,0.535149779,0.090692336,2.19E-10,4.24E-08
TRIB3,739.5974169,0.727191607,0.124685037,2.64E-10,5.03E-08
AP1B1,18755.82739,-0.382867284,0.064804688,2.81E-10,5.28E-08
PNP,2213.520329,0.492080533,0.084308383,3.10E-10,5.74E-08
TSC2,2624.836005,-0.44005878,0.074472154,3.80E-10,6.94E-08
PNRC1,1834.564315,-0.395758059,0.067795496,3.87E-10,6.97E-08
PLA2G15,5035.957394,-0.344824098,0.05926258,4.49E-10,7.98E-08
GAL,835.9586182,0.600872788,0.104232274,4.64E-10,8.10E-08
C3,43519.86801,-0.402194847,0.069100028,4.69E-10,8.10E-08
TPP1,12453.00497,-0.30263743,0.051885947,4.88E-10,8.32E-08
OCSTAMP,153.626228,0.909768896,0.159117841,5.19E-10,8.73E-08
FLNB,3123.688696,0.60575353,0.105776195,5.70E-10,9.47E-08
SLC7A1,2721.807384,0.380942746,0.066098045,6.57E-10,1.08E-07
F3,290.9853978,0.775434827,0.136451258,6.75E-10,1.09E-07
CYGB,511.9420145,-0.53173977,0.092981463,6.80E-10,1.09E-07
AVPI1,486.4928915,-0.52712632,0.092236471,7.00E-10,1.10E-07
SLC20A1,5907.032036,0.445382195,0.07794325,7.52E-10,1.17E-07
ZNF358,1114.595348,-0.431869976,0.075445129,7.76E-10,1.19E-07
TMEM86A,3066.432626,-0.369803733,0.064626259,8.90E-10,1.35E-07
OLFML3,422.1950867,-0.73922968,0.132254639,1.26E-09,1.90E-07
SLC44A2,3003.568812,-0.364014137,0.064881383,1.78E-09,2.64E-07
GLDN,2957.343461,-0.531218948,0.095711745,1.82E-09,2.67E-07
IER3,1110.738718,0.637809337,0.1163745,2.24E-09,3.26E-07
GPNMB,76483.29347,-0.22562597,0.039953021,2.73E-09,3.93E-07
FOLR2,526.3966209,-0.567800067,0.104074853,2.98E-09,4.24E-07
GNAS,34635.24936,-0.246661596,0.044117574,3.14E-09,4.42E-07
ANXA1,16746.25972,0.398031095,0.072386063,3.57E-09,4.94E-07
ABCC5,2758.73525,-0.502667191,0.092867336,3.59E-09,4.94E-07
VWA5A,3237.986402,-0.320815119,0.058040624,3.73E-09,5.07E-07
TRIB2,222.6508574,0.794952392,0.148515449,3.97E-09,5.34E-07
CDC6,236.2420531,0.729642817,0.136298844,4.26E-09,5.64E-07
ITGAL,9437.720647,-0.430749537,0.079442316,4.28E-09,5.64E-07
ID2,11610.32683,-0.291045915,0.052933716,4.41E-09,5.76E-07
MTATP6P1,10354.07809,-0.375682957,0.069476906,4.99E-09,6.44E-07
CEP170,4363.451166,0.28566899,0.052248127,5.26E-09,6.66E-07
DDX21,3371.607731,0.4328129,0.080515861,5.26E-09,6.66E-07
LRP8,553.1952119,0.600260393,0.113011952,5.97E-09,7.49E-07
SLC46A2,171.835247,-0.866449148,0.163966988,6.13E-09,7.61E-07
SCG5,386.5266355,0.976162307,0.185608019,6.42E-09,7.89E-07
MCOLN1,4095.085432,-0.366838492,0.068368674,6.94E-09,8.44E-07
KCNJ2,1245.197467,-0.489351491,0.09270257,7.28E-09,8.78E-07
GLMP,2858.341491,-0.248221659,0.045667334,7.84E-09,9.36E-07
HLA-DRB4,910.2482121,-0.492032817,0.092989285,8.06E-09,9.54E-07
SLC2A8,807.858917,-0.394659555,0.074266502,8.40E-09,9.85E-07
SLC39A8,988.3441026,0.560100147,0.107233999,9.23E-09,1.07E-06
HSPB1,7603.975424,-0.369201435,0.069533951,9.47E-09,1.09E-06
RTL5,719.3980708,-0.531736325,0.101681743,1.06E-08,1.21E-06
CCND2,756.0798509,0.39120851,0.074648572,1.25E-08,1.41E-06
CCL2,4534.269187,1.621682585,0.319789265,1.30E-08,1.46E-06
CLDN1,1695.082156,1.02492925,0.200592522,1.38E-08,1.54E-06
CEBPA,15072.0668,-0.576068867,0.111506376,1.44E-08,1.58E-06
ADORA3,946.4970598,-0.481002823,0.09284097,1.48E-08,1.61E-06
CCL3,985.3616489,0.574085944,0.111667974,1.51E-08,1.63E-06
PIGT,4164.285423,-0.352196249,0.067702298,1.71E-08,1.83E-06
VEGFB,2203.291628,-0.324850217,0.062231596,1.78E-08,1.89E-06
ADGRD1,679.827379,-0.692823332,0.135853789,1.87E-08,1.97E-06
PLEKHG5,303.8184494,-0.688216187,0.135068018,1.96E-08,2.05E-06
THEM6,1298.22988,-0.400030709,0.077604491,1.97E-08,2.05E-06
KIAA1614,397.1321596,-0.55745851,0.109665067,2.20E-08,2.27E-06
HNRNPAB,4747.535157,0.323591655,0.062612658,2.24E-08,2.29E-06
CYTH3,2544.404724,-0.511578261,0.100500218,2.27E-08,2.31E-06
C2,4463.474881,-0.336466393,0.065175706,2.31E-08,2.33E-06
NCAPG,1242.609351,0.325730686,0.063457775,2.74E-08,2.73E-06
DDX60L,4719.693195,0.436657571,0.086236575,2.77E-08,2.73E-06
C15orf48,4360.83208,0.541924042,0.107751032,2.78E-08,2.73E-06
PLAU,2621.20758,0.365612528,0.07178898,2.86E-08,2.80E-06
GPX1,31211.7755,-0.258157704,0.049804184,2.93E-08,2.83E-06
CUX1,4415.419453,-0.393831234,0.078043871,2.95E-08,2.84E-06
APOBEC3C,2286.986687,-0.292193812,0.056827997,3.07E-08,2.92E-06
MT-ND5,141647.3694,-0.26287234,0.050737372,3.15E-08,2.99E-06
SCAMP2,5880.503454,-0.271989926,0.052846691,3.30E-08,3.10E-06
HLA-DRA,3709.552867,-0.496826753,0.099068684,3.39E-08,3.16E-06
CCL22,677.5880447,0.446055551,0.089023248,3.65E-08,3.38E-06
RFC4,381.8282755,0.509927089,0.102952078,3.72E-08,3.41E-06
LPAR5,2502.539538,-0.377364152,0.074864311,3.73E-08,3.41E-06
PLXDC2,22189.4684,-0.29382824,0.057497295,3.77E-08,3.41E-06
G3BP1,4662.192539,0.386789492,0.077066825,3.94E-08,3.55E-06
CXCL8,4410.897522,0.586200723,0.118749125,4.15E-08,3.71E-06
ADAMTS10,169.4089792,-0.993514616,0.201924368,4.32E-08,3.81E-06
INHBA,101.2573046,1.044037657,0.213489399,4.33E-08,3.81E-06
WDR81,5079.442102,-0.310884546,0.061409364,4.35E-08,3.81E-06
SERPINE1,1342.482779,0.383659114,0.076725321,4.45E-08,3.85E-06
SRSF7,1931.512553,0.337534024,0.067104323,4.45E-08,3.85E-06
NRIP3,1588.034877,0.379614002,0.076099241,4.75E-08,4.07E-06
TSR1,1405.906508,0.298730543,0.059229087,5.01E-08,4.27E-06
EDNRB,481.989648,-0.448091329,0.090547665,5.13E-08,4.35E-06
HAMP,416.0285592,-0.643270593,0.131060018,5.22E-08,4.36E-06
BMF,3433.328737,-0.588699337,0.120783389,5.22E-08,4.36E-06
UNC5B,1406.76596,-0.436571999,0.088295842,5.43E-08,4.51E-06
STC2,620.9263112,0.64509616,0.132322586,5.52E-08,4.55E-06
APOL4,745.3824291,-0.725374915,0.148995545,5.99E-08,4.91E-06
CXCL1,240.7367152,0.832298206,0.172556219,6.43E-08,5.23E-06
MAT2A,6098.604749,0.235856057,0.046854828,6.67E-08,5.36E-06
ANKRD22,189.4231916,1.074346064,0.224145993,6.70E-08,5.36E-06
RANBP1,1663.734283,0.347495275,0.070430774,6.74E-08,5.36E-06
PACS1,2938.463723,-0.278681403,0.055834389,6.75E-08,5.36E-06
MYOZ1,1232.841332,-0.386234637,0.078981021,7.10E-08,5.61E-06
MTHFD2,9032.416561,0.328052113,0.068162907,7.26E-08,5.70E-06
C1QBP,2400.627378,0.301873989,0.060914651,7.48E-08,5.83E-06
SHC3,211.9817249,0.906554934,0.189616865,7.53E-08,5.83E-06
PNPT1,1586.91084,0.506696213,0.104684671,7.61E-08,5.83E-06
TESK1,2410.503435,-0.396158018,0.080910851,7.62E-08,5.83E-06
UXS1,1433.539652,0.341167718,0.069460503,7.94E-08,6.04E-06
G0S2,1610.956062,0.352971907,0.072387485,9.07E-08,6.86E-06
DHRS9,821.1209724,-0.544404041,0.113409606,9.40E-08,7.06E-06
CITED2,5356.677417,-0.274993732,0.055655267,9.45E-08,7.06E-06
ITGB3,2551.752513,0.363764554,0.074908588,9.70E-08,7.21E-06
IRF2BPL,3232.731897,-0.39489354,0.081588065,1.01E-07,7.45E-06
CTSA,11595.64162,-0.278107948,0.056540903,1.05E-07,7.71E-06
TUBB2A,1046.139302,0.372127442,0.076993687,1.06E-07,7.71E-06
LTA4H,31609.81219,-0.259972342,0.052753392,1.08E-07,7.78E-06
WASF2,8911.979275,-0.19951625,0.0397751,1.08E-07,7.78E-06
TRAF1,336.4184719,0.537697799,0.112858634,1.10E-07,7.92E-06
ATP6V0C,26074.81636,-0.294203057,0.061030138,1.13E-07,8.10E-06
NCOA4,12108.71148,-0.262557304,0.05322376,1.16E-07,8.22E-06
CCL1,43.15766154,1.561105133,0.332472919,1.19E-07,8.39E-06
CBX7,540.3915434,-0.493509811,0.103639138,1.24E-07,8.70E-06
PSAT1,3953.639386,0.371894755,0.078045846,1.35E-07,9.41E-06
KPNB1,10889.24144,0.268009581,0.054938281,1.40E-07,9.75E-06
ATP2B4,4719.689882,0.300987329,0.062271404,1.42E-07,9.83E-06
NATD1,556.2646612,-0.43127773,0.090839009,1.46E-07,1.00E-05
EEF2,49349.51436,-0.335660535,0.070224734,1.53E-07,1.05E-05
SLC43A3,4781.996527,0.348222293,0.072752188,1.54E-07,1.05E-05
PEA15,12511.13096,0.198716185,0.040167112,1.59E-07,1.07E-05
TLR8,1855.02787,-0.414554435,0.087552099,1.60E-07,1.08E-05
CKAP4,1558.95834,0.363275143,0.076619148,1.73E-07,1.16E-05
MT-ND4,202331.9242,-0.239312828,0.049243546,1.77E-07,1.18E-05
MS4A6A,2335.387149,-0.561830954,0.120012449,1.80E-07,1.19E-05
YWHAG,8694.33521,0.269975121,0.0562592,1.92E-07,1.26E-05
DKC1,1526.228147,0.392314432,0.083485776,1.92E-07,1.26E-05
SLC46A3,670.3901357,-0.387568734,0.082356578,1.97E-07,1.29E-05
POLR2A,10196.47638,-0.329550223,0.069513753,2.01E-07,1.30E-05
HDAC5,2918.888472,-0.324293823,0.068443654,2.08E-07,1.34E-05
FARP1,4532.107673,-0.325249172,0.068764468,2.12E-07,1.37E-05
CD300LF,1233.300015,-0.381118159,0.081404092,2.26E-07,1.44E-05
XPOT,5025.57521,0.271233783,0.056928273,2.28E-07,1.45E-05
LFNG,1054.597379,0.374232002,0.080037997,2.30E-07,1.45E-05
TMT1A,2205.785998,-0.50791533,0.10977884,2.32E-07,1.46E-05
DUSP6,1438.368124,0.590245055,0.12909996,2.45E-07,1.53E-05
MAPK3,1353.158098,-0.387136225,0.083078577,2.52E-07,1.57E-05
NME1,1458.892977,0.424351417,0.092103458,2.55E-07,1.58E-05
RTN4R,446.302276,-0.549121731,0.119811825,2.69E-07,1.65E-05
ATAD3B,885.3737444,0.392086839,0.084662005,2.69E-07,1.65E-05
SLC5A3,7530.57681,0.389288444,0.083647268,2.85E-07,1.74E-05
SCRN1,2588.180674,0.313846584,0.06724862,3.08E-07,1.87E-05
CRTAP,4419.728259,-0.255776504,0.054268944,3.29E-07,2.00E-05
CDS1,378.6161967,0.525078543,0.115491417,3.40E-07,2.05E-05
TLR7,2762.152996,-0.373309254,0.081728546,3.87E-07,2.32E-05
SCIN,1739.509907,-0.248883528,0.056146603,3.98E-07,2.37E-05
DNAJC10,3762.501756,0.350107839,0.076731334,4.14E-07,2.46E-05
WDR91,2450.587589,-0.348411218,0.076181214,4.16E-07,2.46E-05
MSANTD3,577.9985301,0.483585171,0.107752744,4.25E-07,2.51E-05
SELENOP,6668.61248,-0.40349646,0.089309244,4.33E-07,2.54E-05
TSKU,1264.632559,-0.431304386,0.095562392,4.42E-07,2.58E-05
