,baseMean,log2FoldChange,lfcSE,pvalue,padj
FABP4,11425.99272,7.991633331,0.170752365,0,0
PLIN2,35475.52883,2.9347349,0.067457716,0,0
CX3CR1,506.9121098,-5.517360705,0.171154128,3.08E-229,1.55E-225
AMIGO2,2169.733337,2.460822441,0.084882035,4.09E-186,1.54E-182
PDK4,4758.497944,3.355361424,0.126020607,2.49E-157,7.51E-154
FGR,8184.556299,1.791114549,0.069824388,4.52E-146,1.14E-142
ABCG1,5661.363631,1.806227487,0.07231644,6.13E-139,1.32E-135
SPOCD1,4048.949254,1.834510494,0.073860536,2.02E-137,3.81E-134
MEGF9,2997.386104,1.928186934,0.079197456,3.29E-132,5.52E-129
SCD,36638.24829,1.424201302,0.058661615,3.22E-131,4.86E-128
CPT1A,2980.624288,1.864578315,0.080407312,2.94E-120,4.03E-117
KRT79,1161.596935,2.056348033,0.089956321,6.08E-117,7.65E-114
ANGPTL4,602.5131105,5.44387146,0.241496858,1.14E-114,1.32E-111
PHACTR1,2185.598692,1.80617863,0.079892111,2.29E-114,2.47E-111
GPD1,9651.73906,1.52454341,0.06883728,7.75E-110,7.80E-107
NR1H3,16338.96489,1.685000808,0.078186814,3.78E-104,3.57E-101
PDE1B,4919.769454,1.393414884,0.066779692,5.95E-98,5.28E-95
IL7R,7522.815807,1.85285299,0.092787527,6.64E-90,5.57E-87
DTX4,2034.110647,2.227727459,0.112168241,4.13E-89,3.28E-86
ACADVL,23892.43714,1.469649317,0.075927167,2.56E-84,1.93E-81
CAMK1,4291.702022,-1.172826496,0.061007002,2.90E-83,2.08E-80
SOWAHC,1999.810523,1.244346649,0.065669882,3.38E-81,2.32E-78
GLDN,1923.943076,-1.706034332,0.090644264,3.49E-80,2.29E-77
ADAMTS15,1220.339697,1.828656006,0.099878532,3.67E-76,2.31E-73
FABP5,23081.09769,1.652408269,0.090852502,3.53E-75,2.13E-72
FAM89A,1849.09941,1.511770448,0.085266286,1.45E-71,8.40E-69
CD101,1114.633999,-1.932092454,0.109375476,5.18E-71,2.90E-68
CD36,24880.42544,2.384117331,0.135365131,8.95E-71,4.82E-68
ANKH,3247.787157,-1.098563631,0.062642203,5.16E-70,2.69E-67
WIPF3,360.0891138,-1.932997668,0.111177034,7.29E-69,3.67E-66
ST6GAL1,9366.319924,-0.987112243,0.057225973,1.09E-67,5.32E-65
AKR1B1,15482.71402,1.419069087,0.083411904,4.23E-66,1.99E-63
LPCAT3,2813.71084,1.30207661,0.076644756,6.73E-66,3.08E-63
S100B,928.690733,-1.654516418,0.097467071,8.44E-66,3.75E-63
LAT2,3411.128551,-1.090290718,0.064290884,1.39E-65,5.99E-63
GIMAP6,1284.252634,-1.159851361,0.068946751,1.27E-64,5.32E-62
ENPP2,335.0736496,-1.980663538,0.118093246,2.74E-64,1.12E-61
IMPA2,488.2155085,1.819102965,0.108767013,5.10E-64,2.03E-61
CYB5A,1632.264073,1.313865231,0.079392654,1.11E-62,4.28E-60
C3AR1,5512.289985,-1.645988074,0.099853022,3.18E-62,1.20E-59
LILRB2,629.9814619,-1.560813759,0.095650857,4.87E-61,1.79E-58
PLPP3,1530.780004,1.43373992,0.088238347,1.37E-60,4.93E-58
ST14,13663.41108,1.188182435,0.073507835,2.96E-59,1.04E-56
DKK2,488.0914379,-1.889873032,0.117944962,5.26E-59,1.80E-56
KCNE1,776.5121077,1.623697443,0.101469615,7.52E-59,2.52E-56
PPP1R1A,979.1029794,1.807273803,0.114783636,4.13E-57,1.36E-54
ECH1,6764.581016,1.283613505,0.082156614,3.21E-56,1.03E-53
MYBPH,655.0446465,-2.025780946,0.130026676,6.83E-56,2.15E-53
