,baseMean,log2FoldChange,lfcSE,pvalue,padj
GLDN,1923.943076,-0.612718238,0.093862894,3.30E-12,4.21E-08
SLC2A6,768.1778966,0.744113361,0.131525461,6.73E-10,4.29E-06
SOD2,22547.81359,0.71027772,0.128296129,1.05E-09,4.48E-06
ADGRD1,497.9711782,-0.738369801,0.149833011,3.77E-08,7.98E-05
JAML,280.9525515,-0.692886766,0.141106748,4.16E-08,7.98E-05
NCF1,761.0310093,0.572568124,0.116232128,3.73E-08,7.98E-05
NPIPA9,289.194666,0.72467829,0.148345027,4.38E-08,7.98E-05
NCF1C,269.6938024,0.814203845,0.172927178,1.03E-07,0.000164129
PTPRF,1850.017343,0.543989278,0.116528357,1.24E-07,0.000176329
ADORA3,738.6302586,-0.617261042,0.136310528,2.73E-07,0.000275271
CDKL1,177.4540271,-1.313254366,0.288755319,2.33E-07,0.000275271
E2F2,238.4686614,0.65877702,0.146257155,2.81E-07,0.000275271
PADI2,960.022555,-0.646099244,0.142669555,2.72E-07,0.000275271
CD180,1111.364622,-0.455312443,0.10179778,3.52E-07,0.000299448
CSF2RB,2166.852855,0.408962706,0.091320872,3.49E-07,0.000299448
PIGR,111.8984541,-1.150663815,0.265777364,5.23E-07,0.000416341
UHRF1,694.993445,0.460241596,0.10816314,9.20E-07,0.000689903
MCM2,888.0171507,0.544731763,0.129078806,1.01E-06,0.000717695
IGSF10,116.1183616,-0.883885395,0.210619836,1.10E-06,0.000740675
MYOZ1,935.1013265,-0.362590473,0.087282397,1.60E-06,0.001018342
LILRB2,629.9814619,0.456502666,0.111109455,1.71E-06,0.001039223
CENPF,1807.144752,-0.378847357,0.092764174,2.14E-06,0.001068363
CHRM4,181.4175419,-1.112861385,0.27440378,2.15E-06,0.001068363
CLEC5A,914.4860369,0.653409517,0.162150484,2.18E-06,0.001068363
EDNRB,482.025214,-0.449383485,0.109460464,1.85E-06,0.001068363
KIF26B,58.26500201,-1.665787025,0.4114033,2.12E-06,0.001068363
P2RY12,478.9986692,-0.638398534,0.159283011,2.64E-06,0.001248115
SLC7A5,6814.935926,0.476199465,0.119279983,2.81E-06,0.001279699
SLAMF8,6625.749089,0.393392988,0.098521433,2.92E-06,0.001284714
BIRC3,205.0321434,0.706975389,0.181680023,3.67E-06,0.001558198
SEMA4D,3774.266256,0.356674944,0.091309086,4.43E-06,0.00182165
SCIN,1236.17162,-0.343193643,0.088194052,4.83E-06,0.001922985
RRAGB,343.7903187,-0.485319301,0.126621111,5.45E-06,0.002105845
TLR8,1616.11213,-0.433005147,0.112901156,5.66E-06,0.002123097
