,baseMean,log2FoldChange,lfcSE,pvalue,padj
FABP4,11425.99272,8.098299418,0.178000843,0,0
PLIN2,35475.52883,2.856998095,0.072031282,0,0
AMIGO2,2169.733337,2.546270612,0.089926196,1.16E-177,5.86E-174
CX3CR1,506.9121098,-4.739906302,0.169247716,1.87E-173,7.05E-170
PDK4,4758.497944,3.476406896,0.134170458,4.51E-149,1.36E-145
ABCG1,5661.363631,1.930457889,0.077073973,1.21E-139,3.05E-136
GPD1,9651.73906,1.815546218,0.073393631,2.54E-136,5.47E-133
MEGF9,2997.386104,2.078927343,0.08420471,8.02E-136,1.51E-132
FGR,8184.556299,1.685269993,0.074562867,2.98E-114,4.99E-111
KRT79,1161.596935,2.122985588,0.095257066,2.63E-111,3.96E-108
SPOCD1,4048.949254,1.751797674,0.078826262,1.33E-110,1.82E-107
SCD,36638.24829,1.358080278,0.062714341,6.32E-105,7.95E-102
ANGPTL4,602.5131105,5.171945759,0.2483657,3.02E-98,3.50E-95
PHACTR1,2185.598692,1.778084864,0.085149853,5.60E-98,6.04E-95
CPT1A,2980.624288,1.765124422,0.085712623,1.86E-95,1.87E-92
PDE1B,4919.769454,1.463110765,0.071266178,9.00E-95,8.48E-92
LILRB2,629.9814619,-2.065247497,0.107574517,1.80E-83,1.60E-80
FAM89A,1849.09941,1.646758417,0.090696373,6.89E-75,5.77E-72
FABP5,23081.09769,1.753133569,0.097056213,3.87E-74,3.07E-71
DTX4,2034.110647,2.090403055,0.119611696,1.19E-69,9.01E-67
IL7R,7522.815807,1.723323704,0.099161186,8.98E-69,6.45E-66
ACADVL,23892.43714,1.421033043,0.081297545,1.30E-68,8.95E-66
GIMAP6,1284.252634,-1.260817372,0.074910489,9.83E-65,6.45E-62
SOWAHC,1999.810523,1.174365925,0.070159154,5.68E-64,3.57E-61
CD36,24880.42544,2.38969987,0.144633189,1.45E-62,8.76E-60
NCF1,761.0310093,-1.906712826,0.11628427,1.22E-61,7.05E-59
NR1H3,16338.96489,1.361468428,0.083667466,1.33E-60,7.42E-58
ADAMTS15,1220.339697,1.70988566,0.106475146,2.99E-59,1.61E-56
SEMA3G,286.4504211,3.137273205,0.196773091,2.00E-58,1.04E-55
CAT,4975.297926,1.097490049,0.069457554,2.89E-57,1.45E-54
VWA5A,6031.164218,1.040897903,0.06647602,2.75E-56,1.34E-53
LPCAT3,2813.71084,1.276273854,0.081831446,5.80E-56,2.73E-53
POU2F2,2458.048036,-1.572201163,0.101340751,1.78E-55,8.14E-53
OR8G5,325.3911643,2.318573418,0.149435743,1.83E-55,8.14E-53
ECH1,6764.581016,1.347089825,0.087743088,2.36E-54,1.02E-51
ANKH,3247.787157,-1.028982036,0.067270208,6.64E-54,2.78E-51
LAT2,3411.128551,-1.051779799,0.069162587,2.32E-53,9.39E-51
SIGLEC10,1454.250622,-1.455109876,0.095779809,2.37E-53,9.39E-51
PNPLA3,974.7069463,1.958592728,0.129283145,4.48E-53,1.73E-50
SLC7A5,6814.935926,-1.820333911,0.120452393,7.33E-53,2.77E-50
CYB5A,1632.264073,1.280939259,0.084697047,8.26E-53,3.04E-50
SDC4,2100.528452,1.078815616,0.071782757,3.89E-52,1.40E-49
PCOLCE2,2854.667922,1.278412634,0.085515592,1.13E-51,3.97E-49
IMPA2,488.2155085,1.71915598,0.115212941,1.46E-51,4.99E-49
AOC3,260.5977074,3.584967168,0.243190965,3.95E-51,1.32E-48
KLHDC8B,4593.504154,1.490090281,0.10111689,2.57E-50,8.42E-48
C3AR1,5512.289985,-1.564079637,0.106908006,9.98E-50,3.20E-47
ST14,13663.41108,1.136879602,0.078358389,1.82E-49,5.71E-47
ME3,356.5312191,1.797279886,0.123311998,2.29E-49,7.06E-47
HILPDA,490.1783392,1.557060708,0.106879654,3.17E-49,9.57E-47
BTG2,2830.457621,-0.932739695,0.064249453,8.71E-49,2.58E-46
MS4A7,13265.90999,0.867667301,0.059904758,2.01E-48,5.82E-46
TMEM150B,987.2145221,1.638541351,0.1137105,2.77E-48,7.88E-46
PLPP3,1530.780004,1.352219635,0.094234799,7.19E-48,2.01E-45
WIPF3,360.0891138,-1.691538802,0.119814851,1.77E-46,4.86E-44
CAMK1,4291.702022,-0.922715316,0.06533754,2.49E-46,6.70E-44
ABCG2,922.8078603,1.783065351,0.127032411,4.70E-46,1.25E-43
KCNE1,776.5121077,1.512277116,0.108185415,1.44E-45,3.73E-43
RBP4,720.3384766,1.443698791,0.103383603,1.61E-45,4.12E-43
TPD52L1,631.2279124,1.813276767,0.130475452,4.15E-45,1.04E-42
IL21R,911.9714718,-1.649642514,0.118977216,6.23E-45,1.54E-42
ST6GAL1,9366.319924,-0.850363648,0.061295265,8.66E-45,2.11E-42
RGS16,295.791176,-2.134369378,0.154831144,1.74E-44,4.16E-42
CD101,1114.633999,-1.600533759,0.11645593,3.35E-44,7.89E-42
RGCC,4728.161543,-0.945841309,0.068806288,4.96E-44,1.15E-41
FZD1,301.4984611,-1.763880567,0.129405075,1.57E-43,3.60E-41
CORO1A,5295.832482,-1.323422675,0.097269413,2.28E-43,5.13E-41
ENPP2,335.0736496,-1.716002045,0.126211881,2.70E-43,5.98E-41
TSPAN13,4663.203082,1.193393269,0.087987775,5.19E-43,1.13E-40
PRKCB,1319.462754,-1.040851514,0.076842921,7.14E-43,1.54E-40
PDE3B,2806.358071,1.252312143,0.093509787,5.07E-42,1.08E-39
ACAA2,4824.216775,0.965240155,0.07234704,1.35E-41,2.83E-39
ETFDH,1437.3849,1.081375655,0.081164817,1.51E-41,3.12E-39
SIPA1L2,3567.846561,0.966463856,0.0725312,1.62E-41,3.31E-39
IGLON5,275.8784375,2.282587733,0.172467163,3.80E-41,7.64E-39
MCEMP1,727.7025062,1.884640232,0.14269206,4.44E-41,8.81E-39
ATP2B4,2989.795475,-0.760611194,0.057586136,9.44E-41,1.85E-38
DKK2,488.0914379,-1.643642087,0.125298626,1.59E-40,3.07E-38
DPYSL2,4142.172316,-1.225263642,0.093852165,4.35E-40,8.24E-38
DOCK11,4601.887941,1.344253727,0.102968342,4.37E-40,8.24E-38
GPA33,242.0850263,2.281388175,0.176865647,3.22E-39,6.00E-37
PPP1R1A,979.1029794,1.578119206,0.12272128,4.99E-39,9.19E-37
LILRB4,1899.057981,-1.286189834,0.100118153,7.11E-39,1.29E-36
RMDN3,6154.511168,1.035762686,0.081243937,2.73E-38,4.91E-36
S100B,928.690733,-1.321176003,0.104365682,6.85E-38,1.22E-35
ACP5,41011.67395,0.841749962,0.066729435,1.72E-37,3.01E-35
DLC1,1338.385134,1.360266281,0.108143718,1.90E-37,3.29E-35
RND3,1866.863968,1.340971759,0.106964073,3.21E-37,5.51E-35
STOM,6446.991572,0.742919534,0.059128752,4.37E-37,7.36E-35
ABHD5,1635.717623,1.270284049,0.101487299,4.39E-37,7.36E-35
GRK3,5277.738803,1.052611561,0.084206616,6.19E-37,1.03E-34
CH25H,318.01893,-1.790878309,0.143951561,9.47E-37,1.54E-34
VLDLR,428.0214409,1.745292264,0.140194243,9.51E-37,1.54E-34
GABRE,1212.500837,1.726699311,0.140808801,8.81E-36,1.41E-33
SRCIN1,263.5383775,2.708565895,0.22176013,1.11E-35,1.76E-33
TMEM91,450.3267444,1.508290485,0.123197782,1.24E-35,1.95E-33
ADAM12,567.036348,-1.413272464,0.115578921,1.45E-35,2.25E-33
SUSD3,638.997115,-1.752460965,0.143589218,1.73E-35,2.67E-33
DUSP1,1385.185011,1.126638894,0.092457357,2.90E-35,4.42E-33
SLC25A20,1210.102517,1.356003456,0.111563751,3.75E-35,5.66E-33
SHANK3,575.6159148,2.148176964,0.177207683,3.88E-35,5.80E-33
MYBPH,655.0446465,-1.692036149,0.13934454,3.99E-35,5.90E-33
HSDL2,1522.251442,1.262054885,0.103975955,5.85E-35,8.58E-33
CABLES1,2991.492806,1.275187725,0.105119175,5.99E-35,8.70E-33
PLCXD1,1496.955508,1.057851399,0.088134718,2.65E-34,3.81E-32
C1orf162,1369.480216,1.008666681,0.084143341,3.72E-34,5.29E-32
RDH10,2059.493681,1.145774504,0.096321953,1.05E-33,1.49E-31
NFATC2,627.6393036,-1.580080611,0.133994258,2.56E-33,3.58E-31
PTGS1,4882.547377,-0.943878845,0.079937819,2.93E-33,4.06E-31
AKR1B1,15482.71402,1.053464848,0.089369392,4.09E-33,5.61E-31
EIF4EBP2,8260.79031,0.691933088,0.05856583,4.59E-33,6.23E-31
GPR141,275.4523102,-2.112559844,0.181801749,1.46E-32,1.96E-30
RPP25,2552.176332,1.172179198,0.100939653,3.03E-32,4.04E-30
NCEH1,16175.21089,0.912402628,0.078450942,4.43E-32,5.86E-30
PALD1,1891.313172,-1.133337814,0.098500348,8.58E-32,1.13E-29
GIMAP8,598.4968923,-1.305162016,0.113674935,9.89E-32,1.29E-29
CSF1R,21312.1949,-1.296601559,0.112812982,1.06E-31,1.37E-29
RBP7,151.3487409,3.502648522,0.307976713,3.06E-31,3.91E-29
LIMD2,2906.11928,-1.144329849,0.100439466,3.40E-31,4.32E-29
AGRP,204.6630144,2.769427806,0.244180615,4.95E-31,6.23E-29
LRRC4,263.6338851,-2.232048136,0.197999576,7.21E-31,8.99E-29
ENTPD1,2119.555659,-0.957111219,0.084457892,7.71E-31,9.53E-29
TNFRSF11A,1265.275901,-1.297116892,0.114982022,1.13E-30,1.39E-28
OLFM2,582.0794028,-1.205573089,0.106916819,1.29E-30,1.56E-28
NCF1C,269.6938024,-1.938520579,0.172568918,1.56E-30,1.88E-28
CYBB,36712.15932,-0.739269374,0.065376031,1.59E-30,1.91E-28
NLRC4,1618.097987,0.888007029,0.080060378,1.35E-29,1.60E-27
KCNIP2,321.214486,1.528309594,0.138274025,1.46E-29,1.72E-27
CTSL,43631.92824,0.831878152,0.075055079,1.63E-29,1.91E-27
ICOSLG,2790.08721,-0.947960509,0.086134655,2.43E-29,2.82E-27
NLRP3,391.4955005,-1.765523601,0.16070019,2.64E-29,3.04E-27
LMO2,2228.686314,-0.73696035,0.066866568,3.23E-29,3.69E-27
ACP3,126.2350826,-2.176616002,0.198750294,3.76E-29,4.27E-27
BIN1,2015.512943,-0.943252926,0.085901563,4.30E-29,4.84E-27
GLDN,1923.943076,-1.059634597,0.096633919,4.57E-29,5.11E-27
P2RY1,1036.638567,1.167989104,0.106922305,6.71E-29,7.45E-27
SLC29A3,4941.571161,0.819683211,0.075136175,1.25E-28,1.38E-26
ID3,1840.22694,-1.461110646,0.134822574,1.46E-28,1.60E-26
