,baseMean,log2FoldChange,lfcSE,pvalue,padj
CX3CR1,1245.914845,-0.909508222,0.088030176,2.51E-26,2.99E-22
P2RY12,660.7867701,-0.713938173,0.078236053,3.73E-21,2.22E-17
THBD,417.496526,0.86683985,0.107514671,3.81E-17,1.51E-13
CD180,1167.182775,-0.547823469,0.074176698,7.68E-15,2.28E-11
SOCS6,3799.241752,-0.408335355,0.058895714,2.34E-13,5.56E-10
IL1RN,5722.538733,0.464859009,0.068512104,6.32E-13,1.25E-09
KLF6,5660.763206,0.268342205,0.039333777,8.29E-13,1.41E-09
C1QA,9618.302189,-0.247021739,0.038132347,6.15E-12,9.15E-09
PLXDC2,22189.4684,-0.341512002,0.053339712,9.27E-12,1.23E-08
MYC,1427.404117,0.517504568,0.082428003,1.81E-11,2.16E-08
F3,290.9853978,0.77920903,0.125113066,2.19E-11,2.37E-08
TRAF1,336.4184719,0.643359096,0.104139965,3.14E-11,3.11E-08
CCL22,677.5880447,0.49752954,0.082380527,7.58E-11,6.94E-08
GPR34,4932.917295,-0.458113846,0.07616826,9.51E-11,8.09E-08
TRIB2,222.6508574,0.807087407,0.135778447,1.26E-10,9.96E-08
TNC,1187.009751,0.82426385,0.139367988,1.54E-10,1.14E-07
TREM2,9637.421158,-0.301087668,0.050655355,1.75E-10,1.23E-07
TNFRSF9,554.5448743,0.551796139,0.093945648,2.07E-10,1.37E-07
DNASE2,6696.114619,-0.32056675,0.054992277,2.97E-10,1.86E-07
LFNG,1054.597379,0.429817854,0.074276611,4.19E-10,2.50E-07
COL7A1,211.391817,0.750636199,0.131252615,5.13E-10,2.91E-07
CSF1,7547.539205,0.420694796,0.07358563,6.01E-10,3.11E-07
KCNN4,2489.749829,0.481046737,0.084216919,5.92E-10,3.11E-07
CCND1,3929.170193,0.472676208,0.08291204,6.81E-10,3.38E-07
NR1H3,6731.649921,0.2724977,0.048038256,1.00E-09,4.78E-07
CCL3,985.3616489,0.575991802,0.103226157,1.18E-09,5.42E-07
CD300E,371.6119819,1.085323418,0.196408209,1.46E-09,6.42E-07
CHRM4,86.66683527,-1.384044793,0.25073246,1.60E-09,6.81E-07
SLC30A1,3665.556824,-0.271064435,0.048816978,1.98E-09,8.13E-07
PDGFC,1536.671176,-0.313277611,0.056863993,2.25E-09,8.92E-07
EHD1,1454.892773,0.507339741,0.092868755,2.35E-09,9.03E-07
C1QB,21150.9004,-0.290153974,0.05277235,2.55E-09,9.50E-07
NRIP3,1588.034877,0.384546906,0.070411207,2.70E-09,9.72E-07
CYFIP1,20758.51524,-0.274874012,0.052650844,4.76E-09,1.67E-06
TLR7,2762.152996,-0.404827037,0.075897129,5.16E-09,1.76E-06
GLDN,2957.343461,-0.464004658,0.089513522,1.33E-08,4.39E-06
ADORA3,946.4970598,-0.444716319,0.086896363,1.62E-08,5.20E-06
MT-ND5,141647.3694,-0.243480736,0.047484196,2.25E-08,7.04E-06
ANOS1,2663.314499,-0.306513054,0.060362458,2.39E-08,7.12E-06
SLC43A3,4781.996527,0.343109479,0.067674161,2.34E-08,7.12E-06
CCL24,555.6333269,0.613332059,0.123094141,2.75E-08,7.80E-06
ITGB3,2551.752513,0.351099817,0.069653907,2.69E-08,7.80E-06
REPS2,257.7084312,-0.75798859,0.15357193,3.31E-08,9.17E-06
