,baseMean,log2FoldChange,lfcSE,pvalue,padj
GRN,60079.76145,-0.321529454,0.062140642,1.78E-08,0.000102216
CYB561A3,6108.238012,-0.253182276,0.048701275,2.02E-08,0.000102216
KCTD20,2658.87484,0.294269902,0.058594001,4.06E-08,0.000110261
TBC1D2,4508.009877,-0.268398451,0.053345776,4.35E-08,0.000110261
HSPG2,795.84445,-0.61063639,0.128211521,9.98E-08,0.000202484
MAP4K2,1314.02565,-0.366081489,0.079132472,2.47E-07,0.000359982
TSC2,2624.836005,-0.352994603,0.075482829,2.48E-07,0.000359982
CPSF1,4727.224227,-0.372304189,0.08267267,4.36E-07,0.000439485
IL6ST,3536.632694,0.236471741,0.051640186,4.79E-07,0.000439485
POLD4,2598.963279,-0.274730693,0.060490299,4.85E-07,0.000439485
CLEC11A,3132.189796,-0.245070575,0.054300307,5.51E-07,0.000439485
APBA3,522.8331629,-0.515524893,0.117143306,5.60E-07,0.000439485
MOB1A,7680.201076,0.225638256,0.049598889,6.06E-07,0.000439485
PTDSS2,1158.075743,-0.344810214,0.077613548,6.07E-07,0.000439485
CTSD,191407.7092,-0.257795866,0.058662825,7.38E-07,0.000463141
COL5A1,513.9268348,-0.519104134,0.120341036,8.50E-07,0.000463141
XPOT,5025.57521,0.254261246,0.057467521,8.97E-07,0.000463141
SLIT3,748.0598291,-0.393659793,0.090972343,9.04E-07,0.000463141
UNKL,431.0626096,-0.493319574,0.114867474,9.07E-07,0.000463141
FARP1,4532.107673,-0.303432689,0.06934733,9.37E-07,0.000463141
RAB21,2180.481156,0.263691618,0.060157976,9.85E-07,0.000463141
SORBS3,3539.568874,-0.454537364,0.106589519,1.05E-06,0.000463141
POR,2340.173751,-0.245822033,0.055946224,1.09E-06,0.000463141
NARS1,7032.832575,0.190361178,0.042544829,1.10E-06,0.000463141
ZNF358,1114.595348,-0.327943049,0.076653239,1.33E-06,0.000528576
FCSK,633.5607566,-0.4368531,0.103384278,1.35E-06,0.000528576
RRM2,1912.223756,0.305762012,0.071158443,1.48E-06,0.000556248
LRP3,1061.773403,-0.495301283,0.118781602,1.60E-06,0.000579863
TMEM65,955.6781303,0.443867537,0.107944839,1.70E-06,0.000594137
NDC1,1063.222042,0.269118559,0.063139944,1.76E-06,0.000596653
XPO1,5046.420636,0.261108366,0.061862053,2.13E-06,0.000653129
ATP6V0A1,6459.796729,-0.204770309,0.047785578,2.19E-06,0.000653129
NPIPB11,1158.803992,-0.310557756,0.074502481,2.21E-06,0.000653129
INTS15,963.1595731,-0.352310059,0.08511621,2.24E-06,0.000653129
GRINA,10492.87587,-0.221899993,0.05204148,2.25E-06,0.000653129
ITSN2,2890.722826,0.203341959,0.047576172,2.45E-06,0.000678414
HSPB1,7603.975424,-0.292602933,0.070469695,2.48E-06,0.000678414
ZNF444,660.7285708,-0.414744542,0.101507125,2.54E-06,0.000678414
SCAMP2,5880.503454,-0.224168843,0.053322361,2.91E-06,0.00075735
ZNF219,1573.731085,-0.334849955,0.082103329,3.11E-06,0.000788864
MIB2,832.1074471,-0.439037639,0.109493727,3.39E-06,0.000819187
YPEL3,809.8361518,-0.399160221,0.099288727,3.46E-06,0.000819187
SLC35A5,787.3652996,0.336515195,0.083188246,3.47E-06,0.000819187
COL1A1,2932.113196,-0.539815456,0.135953943,3.71E-06,0.000854647
CD2AP,1536.975111,0.29431625,0.072892466,4.01E-06,0.000857367
IFITM10,384.389212,-0.555495443,0.14136195,4.10E-06,0.000857367
DHX37,1132.331738,-0.308359824,0.076539804,4.12E-06,0.000857367
EEF2,49349.51436,-0.284445268,0.071075556,4.13E-06,0.000857367
FAM174C,1413.241064,-0.287367114,0.070909611,4.14E-06,0.000857367
PMEPA1,641.1793268,-0.483685169,0.122989713,4.23E-06,0.000858192
PSAT1,3953.639386,0.317189298,0.079212556,4.54E-06,0.000903647
MTATP6P1,10354.07809,-0.281078131,0.070590521,4.75E-06,0.000923441
HDLBP,13825.44371,-0.183527786,0.044991107,4.82E-06,0.000923441
AVPI1,486.4928915,-0.36988189,0.093890716,5.03E-06,0.000944294
NDUFS7,2693.488415,-0.247932837,0.06155388,5.40E-06,0.000996423
TAF1C,1753.559322,-0.387425772,0.099308255,5.70E-06,0.001032388
BAG6,7710.458884,-0.278864082,0.070249661,5.81E-06,0.001033267
ZSWIM8,3327.540237,-0.274567599,0.070059816,6.54E-06,0.001143728
ITPK1,3695.815795,-0.221167705,0.055130246,6.67E-06,0.001146954
PLD3,52068.83022,-0.262107253,0.066858429,7.30E-06,0.001234036
GAS6,1799.946655,-0.300192183,0.07750256,8.04E-06,0.001336948
